sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
626,Cadbury Dairy Milk,Potatoes,Coca-Cola,Dairy Products,"Potatoes, Oil, Salt",Carbohydrate,No,None,200g per day,Yes,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
627,Cadbury Dairy Milk,Carbonated Water,Britannia,Beverages,"Carbonated Water, Sugar",Additive,No,Allergen Content,Moderate Intake,Limited,Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,7 days from packing
628,Lay's Chips,Milk Chocolate,Nestle,Dairy Products,"Potatoes, Oil, Salt",Carbohydrate,No,Chemical Additives,Moderate Intake,No,Limited,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,2,3,India,14 days from packing
629,Britannia Biscuits,Flour,Coca-Cola,Beverages,"Milk, Sugar, Culture",Fat,No,Allergen Content,As Desired,Yes (Occasional),Yes,No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
630,Cadbury Dairy Milk,Potatoes,Amul,Beverages,"Milk, Sugar, Culture",Carbohydrate,Yes,High Sodium,100g per day,Limited,Yes,Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,2,3,Australia,14 days from packing
631,Lay's Chips,Potatoes,Britannia,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,High Sodium,200g per day,Yes,Yes,Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
632,McCain French Fries,Potatoes,Amul,Beverages,"Milk, Sugar, Culture",Carbohydrate,Yes,None,100g per day,No,No,Yes (Occasional),High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,3,USA,5 days from packing
633,Lay's Chips,Carbonated Water,Amul,Snacks,"Carbonated Water, Sugar",Protein,Yes,Chemical Additives,As Desired,Limited,Yes,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,2,2,India,14 days from packing
634,Britannia Biscuits,Flour,Nestle,Snacks,"Milk Chocolate, Sugar",Protein,No,Chemical Additives,As Desired,No,Limited,No,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
635,Coca-Cola Classic,Milk Chocolate,Haldiram's,Snacks,"Flour, Butter, Sugar",Additive,No,High Sodium,200g per day,No,Yes,No,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
636,Lay's Chips,Milk,Haldiram's,Confectionery,"Potatoes, Oil, Salt",Sweetener,No,None,200g per day,Yes (Occasional),Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,3,India,14 days from packing
637,Coca-Cola Classic,Milk Chocolate,Britannia,Confectionery,"Milk Chocolate, Sugar",Dairy,No,High Sodium,As Desired,Yes,No,Yes,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
638,Epigamia Greek Yogurt,Carbonated Water,Nestle,Beverages,"Flour, Butter, Sugar",Protein,Yes,High Sodium,As Desired,Limited,No,Yes,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,3,USA,5 days from packing
639,Britannia Biscuits,Carbonated Water,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Protein,Yes,Allergen Content,As Desired,Yes (Occasional),Yes (Occasional),Yes,Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,5 days from packing
640,McCain French Fries,Potatoes,Britannia,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Additive,Yes,High Sodium,As Desired,Limited,Limited,Limited,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,5 days from packing
641,Epigamia Greek Yogurt,Potatoes,Nestle,Dairy Products,"Milk, Sugar, Culture",Fat,Yes,High Sodium,As Desired,No,Yes,No,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
642,Coca-Cola Classic,Potatoes,Nestle,Beverages,"Carbonated Water, Sugar",Dairy,No,Chemical Additives,Moderate Intake,Limited,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,2,USA,5 days from packing
643,Epigamia Greek Yogurt,Potatoes,Amul,Frozen Foods,"Carbonated Water, Sugar",Additive,Yes,Allergen Content,200g per day,Yes (Occasional),Limited,Limited,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,2,2,Canada,14 days from packing
644,Coca-Cola Classic,Potatoes,Haldiram's,Beverages,"Milk Chocolate, Sugar",Dairy,No,Allergen Content,100g per day,Yes (Occasional),No,Yes (Occasional),Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,2,India,14 days from packing
645,Coca-Cola Classic,Milk,Lay's,Beverages,"Carbonated Water, Sugar",Fat,No,None,200g per day,Limited,No,Yes (Occasional),Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,Australia,14 days from packing
646,Britannia Biscuits,Milk,Amul,Dairy Products,"Milk Chocolate, Sugar",Sweetener,Yes,Chemical Additives,Moderate Intake,No,Yes (Occasional),Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,Mexico,5 days from packing
647,Cadbury Dairy Milk,Carbonated Water,Britannia,Beverages,"Milk, Sugar, Culture",Additive,Yes,Allergen Content,200g per day,No,No,Yes,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,5 days from packing
648,Cadbury Dairy Milk,Flour,Lay's,Frozen Foods,"Potatoes, Oil, Salt",Additive,No,Allergen Content,100g per day,No,Yes,Limited,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,0,3,India,5 days from packing
649,Britannia Biscuits,Potatoes,Amul,Confectionery,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,None,100g per day,Yes (Occasional),Yes,Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
650,Britannia Biscuits,Milk Chocolate,Coca-Cola,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Carbohydrate,Yes,Allergen Content,100g per day,Yes (Occasional),Yes (Occasional),Yes (Occasional),Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
651,Britannia Biscuits,Milk,Britannia,Snacks,"Milk, Sugar, Culture",Additive,No,None,200g per day,Yes (Occasional),Yes (Occasional),No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,3,USA,5 days from packing
652,Coca-Cola Classic,Carbonated Water,Haldiram's,Snacks,"Flour, Butter, Sugar",Additive,No,None,As Desired,No,Yes,Yes,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,5 days from packing
653,Coca-Cola Classic,Potatoes,Nestle,Confectionery,"Milk Chocolate, Sugar",Additive,Yes,Chemical Additives,Moderate Intake,No,Yes (Occasional),Limited,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,2,2,Canada,7 days from packing
654,Epigamia Greek Yogurt,Potatoes,Nestle,Dairy Products,"Milk, Sugar, Culture",Protein,No,Allergen Content,200g per day,No,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
655,Lay's Chips,Milk,Haldiram's,Confectionery,"Milk Chocolate, Sugar",Protein,No,High Sodium,Moderate Intake,Yes,No,Yes,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,2,India,14 days from packing
656,Coca-Cola Classic,Potatoes,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Additive,No,None,Moderate Intake,Yes (Occasional),Yes,Limited,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
657,Britannia Biscuits,Potatoes,Haldiram's,Beverages,"Potatoes, Vegetable Oil, Salt",Dairy,No,High Sodium,100g per day,Limited,Yes,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
658,Britannia Biscuits,Milk,Coca-Cola,Snacks,"Carbonated Water, Sugar",Additive,No,None,As Desired,Yes,Yes (Occasional),No,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
659,Lay's Chips,Milk,Coca-Cola,Confectionery,"Potatoes, Vegetable Oil, Salt",Sweetener,No,High Sodium,As Desired,No,No,Yes (Occasional),Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,1,3,Canada,14 days from packing
660,McCain French Fries,Potatoes,Amul,Frozen Foods,"Milk Chocolate, Sugar",Carbohydrate,No,Chemical Additives,As Desired,Yes,Yes (Occasional),Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,5 days from packing
661,Coca-Cola Classic,Milk Chocolate,Coca-Cola,Beverages,"Carbonated Water, Sugar",Fat,Yes,Allergen Content,As Desired,Yes,Yes,Yes (Occasional),Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,USA,5 days from packing
662,Coca-Cola Classic,Potatoes,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Sweetener,Yes,High Sodium,100g per day,Yes (Occasional),Limited,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,2,Australia,5 days from packing
663,Britannia Biscuits,Carbonated Water,Lay's,Confectionery,"Potatoes, Oil, Salt",Protein,No,Allergen Content,200g per day,Yes (Occasional),Yes (Occasional),No,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
664,McCain French Fries,Milk Chocolate,Lay's,Frozen Foods,"Carbonated Water, Sugar",Protein,No,Allergen Content,200g per day,Limited,Yes (Occasional),Limited,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Australia,14 days from packing
665,Britannia Biscuits,Milk,Haldiram's,Beverages,"Carbonated Water, Sugar",Dairy,No,High Sodium,Moderate Intake,No,Yes,Limited,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,India,14 days from packing
666,Epigamia Greek Yogurt,Potatoes,Britannia,Beverages,"Carbonated Water, Sugar",Additive,Yes,Chemical Additives,As Desired,No,Yes,No,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,USA,5 days from packing
667,Coca-Cola Classic,Potatoes,Amul,Beverages,"Milk, Sugar, Culture",Carbohydrate,Yes,High Sodium,Moderate Intake,Yes,Yes,Yes (Occasional),Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
668,Lay's Chips,Carbonated Water,Haldiram's,Frozen Foods,"Milk, Sugar, Culture",Protein,Yes,None,Moderate Intake,Yes (Occasional),Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
669,Epigamia Greek Yogurt,Potatoes,Coca-Cola,Beverages,"Carbonated Water, Sugar",Fat,No,Allergen Content,200g per day,Yes (Occasional),Yes (Occasional),Limited,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,India,14 days from packing
670,Cadbury Dairy Milk,Potatoes,Haldiram's,Frozen Foods,"Flour, Butter, Sugar",Carbohydrate,No,None,100g per day,No,Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,USA,5 days from packing
671,Epigamia Greek Yogurt,Potatoes,Haldiram's,Dairy Products,"Potatoes, Vegetable Oil, Salt",Carbohydrate,Yes,High Sodium,As Desired,No,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,0,3,USA,7 days from packing
672,McCain French Fries,Milk Chocolate,Nestle,Frozen Foods,"Milk, Sugar, Culture",Protein,Yes,None,100g per day,No,Yes (Occasional),Limited,High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
673,Cadbury Dairy Milk,Milk Chocolate,Nestle,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,Yes,High Sodium,100g per day,No,Yes,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
674,Britannia Biscuits,Milk Chocolate,Britannia,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Dairy,No,Allergen Content,100g per day,No,Limited,No,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,3,USA,5 days from packing
675,Lay's Chips,Potatoes,Britannia,Frozen Foods,"Potatoes, Oil, Salt",Fat,No,Chemical Additives,Moderate Intake,Limited,Yes (Occasional),No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
676,Coca-Cola Classic,Carbonated Water,Britannia,Dairy Products,"Potatoes, Oil, Salt",Fat,Yes,Allergen Content,Moderate Intake,No,Limited,Limited,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,3,USA,7 days from packing
677,McCain French Fries,Milk Chocolate,Haldiram's,Beverages,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,None,100g per day,Limited,Yes,Yes,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,USA,7 days from packing
678,Coca-Cola Classic,Flour,Amul,Dairy Products,"Milk, Sugar, Culture",Carbohydrate,No,Allergen Content,100g per day,Yes (Occasional),Limited,Limited,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
679,Britannia Biscuits,Carbonated Water,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Carbohydrate,Yes,High Sodium,As Desired,Limited,Yes,Yes,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
680,Lay's Chips,Flour,Amul,Snacks,"Flour, Butter, Sugar",Carbohydrate,Yes,Allergen Content,100g per day,Yes,No,Yes,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,2,3,India,5 days from packing
681,Epigamia Greek Yogurt,Carbonated Water,Britannia,Confectionery,"Milk, Sugar, Culture",Additive,Yes,High Sodium,200g per day,Yes,No,Yes (Occasional),Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,USA,5 days from packing
682,Cadbury Dairy Milk,Milk,Amul,Confectionery,"Flour, Butter, Sugar",Additive,Yes,Allergen Content,100g per day,Yes (Occasional),No,No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,0,3,USA,7 days from packing
683,Cadbury Dairy Milk,Potatoes,Coca-Cola,Confectionery,"Potatoes, Oil, Salt",Fat,No,None,Moderate Intake,Limited,No,No,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,3,USA,5 days from packing
684,Lay's Chips,Flour,Haldiram's,Frozen Foods,"Carbonated Water, Sugar",Additive,Yes,Allergen Content,100g per day,Limited,Yes (Occasional),Limited,Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,2,USA,5 days from packing
685,McCain French Fries,Milk Chocolate,Nestle,Snacks,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,Allergen Content,100g per day,Yes,No,Limited,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,0,3,India,7 days from packing
686,Britannia Biscuits,Potatoes,Lay's,Frozen Foods,"Carbonated Water, Sugar",Dairy,Yes,High Sodium,100g per day,Yes,Yes,No,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,Canada,5 days from packing
687,Coca-Cola Classic,Carbonated Water,Amul,Dairy Products,"Flour, Butter, Sugar",Fat,Yes,None,200g per day,Limited,No,No,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,3,USA,5 days from packing
688,Lay's Chips,Carbonated Water,Nestle,Dairy Products,"Milk, Sugar, Culture",Additive,Yes,High Sodium,As Desired,Yes,Yes (Occasional),No,High sugar content with quick energy boost,Homemade Snacks,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
689,Epigamia Greek Yogurt,Carbonated Water,Nestle,Frozen Foods,"Carbonated Water, Sugar",Carbohydrate,No,Allergen Content,200g per day,Yes,No,No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,1,2,India,5 days from packing
690,McCain French Fries,Potatoes,Haldiram's,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,None,200g per day,Limited,Limited,Limited,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,2,3,Australia,7 days from packing
